race,Lr1,Lr2a,Lr2c,Lr3,Lr9,Lr16,Lr24,Lr26,Lr3Ka,Lr11,Lr17,Lr30,Lr10,Lr18,Lr14a,Lr23,Lr15,Lr20,Lr21,Lr28,Lr32,Lr36,Lr38,Lr39
CBGS_1,0,0,;;,33,;;,11,;;,;;,11,33,;;,11,33,33,33,2+2+,33,33,22,33,11,11,;;,;;
CBGS_2,0,;;,11,33,;;,11,11,;;,11,33,;;,11,33,33,33,2+2+,33,33,22,33,11,11,;;,;;
CBTD_1,;;,;;,11,33,;;,11,;;,;;,33,33,33,33,;;,2+2+,33,11,33,33,11,33,11,22,;;,;1
CBTD_2,;;,;;,;;,33,;;,11,11,;;,33,33,33,33,;;,2+2+,33,11,33,33,22,33,11,22,;;,;1
DBBC_1,;1,;;,33,;;,11,;;,;;,11,1+1+,22,1+1+,11,11,2+2+,2+2+,33,2+2+,2+2+,22,2+2+,;1,;1,;;,;1
DBBC_2,;1,0,33,;;,;;,11,;;,;;,11,22,;;,11,11,2+2+,2+2+,33,2+2+,22,22,2+2+,;1,;1,;;,;1
KBGS_1,;;,33,33,33,;;,11,;;,;;,11,33,;;,11,33,33,33,2+2+,33,33,22,33,;;,;;,;;,;;
KBGS_2,;;,33,33,33,;;,11,;;,;;,11,33,;;,11,33,33,33,2+2+,33,33,22,33,;;,;;,;;,;;
LBBQ_1,33,11,;;,12,;;,11,;;,;;,2+2+,11,11,11,33,33,22+,11,22,2+2+,11,22+,;;,11,;;,11
LBBQ_2,33,;;,;;,22,;;,11,11,;;,2+2+,11,11,11,33,33,22+,11,3-3-,3-3-,11,22+,;;,11,;;,11
LBCS_1,33,;;,;1,;;,;2,11,;;,;1,;1,22+,;1,33,22+,33,33,22+,33,33,;;,33,;1,;1,;;,;1
LBCS_2,33,;;,;1,;1,;;,11,;;,;;,;;,22,;1,33,2+2+,33,33,22+,33,33,12,33,;1,;1,;;,;1
MBMN_1,33,;;,;;,33,;;,11,;;,;1,33,2+2+,11,33,33,21,3+3+,11,33,33,;;,33,;1,;1,;1,22
MBMN_2,33,;;,;;,33,;;,11,;;,11,33,2+2+,;;,33,33,22,33,;1,33,33,;;,33,;;,;;,;;,22
MBRR_1,33,;;,;;,33,;;,11,;;,;;,33,33,11,33,33,33,2+2+,33,22,2+2+,11,2+2+,;1,11,;;,;1
MBRR_2,33,;;,;;,33,;;,11,;;,;;,33,33,11,33,33,33,2+2+,33,2+2+,2+2+,11,2+2+,;1,;1,;;,;;
MCDN_1,33,22,22,33,;;,11,11,33,11,2+2+,33,11,33,22,33,11,33,;1,11,33,22,11,;;,11
MCDN_2,33,22,22,33,;;,11,11,33,11,2+2+,33,11,33,22,33,11,33,;1,11,33,22,11,;;,11
MCRN_1,33,;;,;;,33,;;,11,;;,33,33,33,11,33,33,22,33,11,33,;2,11,33,;1,11,;;,11
MCRN_2,33,;;,11,33,;;,11,;;,33,33,33,11,33,33,11,33,11,33,;2,11,33,;1,11,;;,11
MFMP_1,44,;;,;;,33,;;,11,33,33,33,2+2+,11,33,44,22,33,33,33,33,11,33,11,11,;;,;1
MFMP_2,33,;;,;;,33,;;,11,33,33,33,2+2+,;;,33,33,22,33,33,33,33,;;,33,11,11,;;,;1
MGBN_1,33,22,2+2+,33,;;,33,;1,;1,22,22,11,11,33,2+2+,33,11,22,22,;;,33,;1,11,;;,11
MGBN_2,33,22,2+2+,33,;;,33,;1,;1,22,22,11,11,33,2+2+,33,22,22,22,;1,33,;1,11,;;,11
MGMN_1,33,;;,22,33,;;,33,;;,;;,33,22,22,33,33,22,33,11,11,;;,1+1+,2+2+,11,11,;;,;;
MGMN_2,33,;;,22,33,;;,33,;;,;;,33,11,11,33,33,22,33,11,;;,;;,11,2+2+,11,11,;;,11
PDLM_1,33,;2,33,33,0;,11,33,;;,33,;1,;;,1+1+,33,22,22+,33,33,33,0,3+3+,;;,1+1+,;;,;;
PDLM_2,33,;2,33,33,0,;1,33,;;,33,;1,;;,1+1+,33,22,22+,33,33,33,11,33,;1,1+1+,;;,;;
PNMT_1,33,;;,33,33,33,11,33,11,33,2+2+,;;,33,33,3+3+,33,33,33,33,;;,33,11,11,;;,22
PNMT_2,44,11,33,33,44,11,33,11,33,2+2+,;;,33,33,33,33,33,33,33,11,33,11,11,;;,22
SBDB_1,33,33,33,;;,;;,11,;;,;;,;;,2+2+,33,;;,;;,11,2+2+,;;,2+2+,;;,11,3-3-,12,11,;;,11
SBDB_2,33,33,33,;;,;;,11,;;,;;,;;,2+2+,33,;;,;;,11,2+2+,;;,2+2+,;;,11,3-3-,11,11,;;,11
TBPM_1,33,33,33,33,0;,11,;;,;;,33,;;,33,33,33,;1,22+,33,33,33,0,33,0;,22,0,;1
TBPM_2,3+3+,3+3+,3+3+,3+3+,0;,1+1+,;;,;;,3+3+,;;,33,33,33,;;,22+,33,33,33,;1,33,11,22,0,;1
TCRN_1,33,33,33,33,;;,11,0,33,33,33,;;,33,33,22,33,11,22,;;,11,33,11,11,;;,11
TCRN_2,33,33,33,33,;;,11,11,33,33,33,;;,33,33,22,33,11,22,;;,11,33,11,11,0,;1
TDRP_1,33,33,33,33,;;,11,33,11,33,33,;;,44,33,2+2+,33,33,33,33,22,33,11,11,;;,11
TDRP_2,33,33,33,33,0,11,33,11,33,33,;;,33,33,22,33,33,33,33,1+1+,33,11,11,;;,11
TFRP_1,44,33,33,33,0,11,33,33,33,33,11,44,33,2+2+,33,33,33,33,11,33,;1,;1,;;,;;
TFRP_2,33,33,33,33,0,11,33,33,33,33,11,33,33,22,33,33,33,33,11,33,;1,;1,;;,;;
TLGM_1,44,44,44,44,44,1+1+,;;,;;,11,44,11,22,44,22,2+2+,44,33,2+2+,11,2+2+,22,11,;;,;1
TLGM_2,44,44,44,33,44,11,;;,;;,11,44,;;,1+1+,33,22,2+2+,33,33,2+2+,1+1+,3-3-,2+2+,11,;;,;1
TLRT_1,33,33,33,33,33,11,;;,11,33,33,;;,33,33,33,33,33,33,33,11,33,11,11,0,;1
TLRT_2,33,33,33,33,33,11,;1,11,33,33,;;,33,33,33,33,33,33,33,11,33,11,11,0,;1
