race,JACKSON,MADISON
CBGS_1,;;,33
CBGS_2,;;,33
CBTD_1,;;,;;
CBTD_2,;;,;;
DBBC_1,;;,11
DBBC_2,;;,;;
KBGS_1,;;,33
KBGS_2,;;,33
LBBQ_1,2+2+,22
LBBQ_2,2+2+,22
LBCS_1,;1,;1
LBCS_2,;1,;;
MBMN_1,;1,2+2+
MBMN_2,;1,2+2+
MBRR_1,44,33
MBRR_2,33,33
MCDN_1,2+2+,22
MCDN_2,2+2+,2+2+
MCRN_1,33,33
MCRN_2,33,33
MFMP_1,;12,;;
MFMP_2,;12,;12
MGBN_1,12,;;
MGBN_2,12,;12
MGMN_1,;2+,;2+
MGMN_2,;2+,;2+
PDLM_1,;;,;1
PDLM_2,;1,0;
PNMT_1,11,2+2+
PNMT_2,11,22
SBDB_1,;;,;;
SBDB_2,;;,;;
TBPM_1,;;,;;
TBPM_2,;;,;;
TCRN_1,33,33
TCRN_2,33,33
TDRP_1,33,33
TDRP_2,33,33
TFRP_1,33,33
TFRP_2,33,33
TLGM_1,33,33
TLGM_2,33,33
TLRT_1,33,33
TLRT_2,33,33
